风机名,状态码,状态码描述,激活时间,复位时间
20,300908,桨叶齿轮润滑油位低, 2021-12-28 15:45:47:334, 2022-02-13 02:01:38:564
20,300907,桨叶轴承润滑油位低, 2021-12-28 15:45:47:334, 2022-02-13 02:01:38:564
20,290050,主轴承润滑油油位低, 2021-12-28 15:35:57:334, 2022-02-13 02:01:38:564
20,300908,桨叶齿轮润滑油位低, 2021-12-28 15:32:53:434, 2021-12-28 15:35:47:314
20,300907,桨叶轴承润滑油位低, 2021-12-28 15:32:53:434, 2021-12-28 15:35:47:314
20,290050,主轴承润滑油油位低, 2021-12-28 15:23:03:434, 2021-12-28 15:35:47:314
20,300907,桨叶轴承润滑油位低, 2021-12-28 15:21:47:222, 2021-12-28 15:22:53:414
20,300908,桨叶齿轮润滑油位低, 2021-12-28 15:21:47:222, 2021-12-28 15:22:53:414
20,290050,主轴承润滑油油位低, 2021-12-28 15:11:57:222, 2021-12-28 15:22:53:414
20,290050,主轴承润滑油油位低, 2021-12-28 15:11:16:142, 2021-12-28 15:11:46:842
20,910002,机舱停止按钮激活, 2021-12-28 15:10:57:082, 2021-12-28 15:11:06:122
20,290050,主轴承润滑油油位低, 2021-12-28 15:09:06:562, 2021-12-28 15:11:06:122
20,910002,机舱停止按钮激活, 2021-12-28 15:08:12:842, 2021-12-28 15:08:50:902
20,910000,塔底停止按钮激活, 2021-12-28 14:27:50:831, 2021-12-28 15:08:50:902
20,60004,自动解缆, 2021-12-22 21:52:10:440, 2021-12-22 22:00:53:240
20,300908,桨叶齿轮润滑油位低, 2021-12-15 13:38:12:061, 2021-12-28 15:08:50:902
20,300907,桨叶轴承润滑油位低, 2021-12-15 13:38:12:061, 2021-12-28 15:08:50:902
20,290050,主轴承润滑油油位低, 2021-12-15 13:28:22:061, 2021-12-28 15:08:50:902
20,910000,塔底停止按钮激活, 2021-12-15 09:07:56:027, 2021-12-15 13:28:12:041
20,300908,桨叶齿轮润滑油位低, 2021-12-06 23:15:06:150, 2021-12-15 13:28:12:041
20,300907,桨叶轴承润滑油位低, 2021-12-06 23:15:06:150, 2021-12-15 13:28:12:041
20,300691,桨叶轴承润滑出错, 2021-12-06 23:14:57:430, 2021-12-06 23:14:57:450
20,300691,桨叶轴承润滑出错, 2021-12-06 23:13:57:390, 2021-12-06 23:13:57:410
20,300691,桨叶轴承润滑出错, 2021-12-06 23:12:57:350, 2021-12-06 23:12:57:370
20,300691,桨叶轴承润滑出错, 2021-12-06 23:11:57:310, 2021-12-06 23:11:57:330
20,300691,桨叶轴承润滑出错, 2021-12-06 23:10:57:270, 2021-12-06 23:10:57:290
20,300691,桨叶轴承润滑出错, 2021-12-06 23:09:57:230, 2021-12-06 23:09:57:250
20,300691,桨叶轴承润滑出错, 2021-12-06 23:08:57:190, 2021-12-06 23:08:57:210
20,300691,桨叶轴承润滑出错, 2021-12-06 23:07:57:150, 2021-12-06 23:07:57:170
20,290050,主轴承润滑油油位低, 2021-12-06 23:05:16:150, 2021-12-15 13:28:12:041
20,10011,机舱振动报警, 2021-12-06 22:27:16:665, 2021-12-06 23:05:06:130
20,300907,桨叶轴承润滑油位低, 2021-11-29 12:19:34:859, 2021-12-06 23:05:06:130
20,300908,桨叶齿轮润滑油位低, 2021-11-29 12:19:34:859, 2021-12-06 23:05:06:130
20,300691,桨叶轴承润滑出错, 2021-11-29 12:13:23:459, 2021-11-29 12:13:23:479
20,290050,主轴承润滑油油位低, 2021-11-29 12:09:44:859, 2021-12-06 23:05:06:130
20,300709,变桨安全链断开, 2021-11-29 12:09:34:699, 2021-11-29 12:09:34:839
