风机名,状态码,状态码描述,激活时间,复位时间
10,290060,主轴承润滑故障(分油器堵塞),2021-12-31 14:50:39:406,2021-12-31 14:51:09:426
10,290060,主轴承润滑故障(分油器堵塞),2021-12-31 02:48:08:554,2021-12-31 02:48:38:574
10,290060,主轴承润滑故障(分油器堵塞),2021-12-30 14:45:37:695,2021-12-30 14:46:07:715
10,290060,主轴承润滑故障(分油器堵塞),2021-12-30 02:43:06:843,2021-12-30 02:43:36:863
10,290060,主轴承润滑故障(分油器堵塞),2021-12-29 14:40:35:983,2021-12-29 14:41:06:003
10,60300,偏航软启动器故障,2021-12-29 10:14:28:889,2021-12-29 10:14:29:109
10,290060,主轴承润滑故障(分油器堵塞),2021-12-29 02:38:05:138,2021-12-29 02:38:35:158
10,290060,主轴承润滑故障(分油器堵塞),2021-12-28 14:35:34:291,2021-12-28 14:36:04:311
10,290060,主轴承润滑故障(分油器堵塞),2021-12-28 02:33:03:444,2021-12-28 02:33:33:464
10,290060,主轴承润滑故障(分油器堵塞),2021-12-27 14:30:32:594,2021-12-27 14:31:02:614
10,290060,主轴承润滑故障(分油器堵塞),2021-12-27 02:28:01:781,2021-12-27 02:28:31:801
10,290060,主轴承润滑故障(分油器堵塞),2021-12-26 14:25:30:952,2021-12-26 14:26:00:972
10,290060,主轴承润滑故障(分油器堵塞),2021-12-26 02:23:00:110,2021-12-26 02:23:30:151
10,290060,主轴承润滑故障(分油器堵塞),2021-12-25 14:20:29:282,2021-12-25 14:20:59:302
10,60004,自动解缆,2021-12-25 07:01:55:113,2021-12-25 07:10:56:836
10,290060,主轴承润滑故障(分油器堵塞),2021-12-25 02:17:58:448,2021-12-25 02:18:28:468
10,290060,主轴承润滑故障(分油器堵塞),2021-12-24 14:15:27:596,2021-12-24 14:15:57:616
10,290060,主轴承润滑故障(分油器堵塞),2021-12-24 02:12:56:742,2021-12-24 02:13:26:773
10,290060,主轴承润滑故障(分油器堵塞),2021-12-23 14:10:25:889,2021-12-23 14:10:55:909
10,300908,桨叶齿轮润滑油位低,2021-12-23 12:39:01:748,2022-01-20 03:47:27:168
10,300907,桨叶轴承润滑油位低,2021-12-23 12:39:01:748,2022-01-20 03:47:27:168
10,910000,塔底停止按钮激活,2021-12-23 08:59:52:971,2021-12-23 12:29:01:707
10,290060,主轴承润滑故障(分油器堵塞),2021-12-23 02:07:55:053,2021-12-23 02:08:25:073
10,290060,主轴承润滑故障(分油器堵塞),2021-12-22 14:05:24:180,2021-12-22 14:05:54:200
10,290060,主轴承润滑故障(分油器堵塞),2021-12-22 02:02:53:334,2021-12-22 02:03:23:365
10,290060,主轴承润滑故障(分油器堵塞),2021-12-21 14:00:22:456,2021-12-21 14:00:52:476
10,290060,主轴承润滑故障(分油器堵塞),2021-12-21 01:57:51:589,2021-12-21 01:58:21:609
10,290060,主轴承润滑故障(分油器堵塞),2021-12-20 13:55:20:724,2021-12-20 13:55:50:744
10,290060,主轴承润滑故障(分油器堵塞),2021-12-20 01:52:49:852,2021-12-20 01:53:19:883
10,290060,主轴承润滑故障(分油器堵塞),2021-12-19 13:50:18:987,2021-12-19 13:50:49:007
10,290060,主轴承润滑故障(分油器堵塞),2021-12-19 01:47:48:122,2021-12-19 01:48:18:142
10,290060,主轴承润滑故障(分油器堵塞),2021-12-18 13:45:17:271,2021-12-18 13:45:47:291
10,290060,主轴承润滑故障(分油器堵塞),2021-12-18 01:42:46:429,2021-12-18 01:43:16:471
10,290060,主轴承润滑故障(分油器堵塞),2021-12-17 13:40:15:607,2021-12-17 13:40:45:627
10,290060,主轴承润滑故障(分油器堵塞),2021-12-17 01:37:44:762,2021-12-17 01:38:14:782
10,290060,主轴承润滑故障(分油器堵塞),2021-12-16 13:35:13:929,2021-12-16 13:35:43:949
10,290060,主轴承润滑故障(分油器堵塞),2021-12-16 01:32:43:077,2021-12-16 01:33:13:108
10,290060,主轴承润滑故障(分油器堵塞),2021-12-15 13:30:12:232,2021-12-15 13:30:42:252
10,290060,主轴承润滑故障(分油器堵塞),2021-12-15 01:27:41:397,2021-12-15 01:28:11:417
10,290060,主轴承润滑故障(分油器堵塞),2021-12-14 13:25:10:553,2021-12-14 13:25:40:573
10,290060,主轴承润滑故障(分油器堵塞),2021-12-14 01:22:39:712,2021-12-14 01:23:09:743
10,290060,主轴承润滑故障(分油器堵塞),2021-12-13 13:20:08:856,2021-12-13 13:20:38:876
10,290060,主轴承润滑故障(分油器堵塞),2021-12-13 01:17:38:041,2021-12-13 01:18:08:061
10,290060,主轴承润滑故障(分油器堵塞),2021-12-12 13:15:07:193,2021-12-12 13:15:37:213
10,290060,主轴承润滑故障(分油器堵塞),2021-12-12 01:12:36:350,2021-12-12 01:13:06:387
10,290060,主轴承润滑故障(分油器堵塞),2021-12-11 13:10:05:513,2021-12-11 13:10:35:533
10,290060,主轴承润滑故障(分油器堵塞),2021-12-11 01:07:34:681,2021-12-11 01:08:04:701
10,290060,主轴承润滑故障(分油器堵塞),2021-12-10 13:05:03:854,2021-12-10 13:05:33:874
10,290060,主轴承润滑故障(分油器堵塞),2021-12-10 01:02:33:009,2021-12-10 01:03:03:029
10,290060,主轴承润滑故障(分油器堵塞),2021-12-09 13:00:02:164,2021-12-09 13:00:32:184
10,290060,主轴承润滑故障(分油器堵塞),2021-12-09 00:57:31:325,2021-12-09 00:58:01:345
10,290060,主轴承润滑故障(分油器堵塞),2021-12-08 12:55:00:488,2021-12-08 12:55:30:508
10,290060,主轴承润滑故障(分油器堵塞),2021-12-08 00:52:29:634,2021-12-08 00:52:59:666
10,290060,主轴承润滑故障(分油器堵塞),2021-12-07 12:49:58:779,2021-12-07 12:50:28:799
10,300908,桨叶齿轮润滑油位低,2021-12-07 07:49:45:920,2021-12-23 12:29:01:707
10,300907,桨叶轴承润滑油位低,2021-12-07 07:49:45:920,2021-12-23 12:29:01:707
10,10011,机舱振动报警,2021-12-07 07:39:12:028,2021-12-07 07:39:45:888
10,10011,机舱振动报警,2021-12-07 07:29:10:437,2021-12-07 07:32:12:317
10,170102,暴风,2021-12-07 06:23:03:608,2021-12-07 06:28:12:848
10,300907,桨叶轴承润滑油位低,2021-12-07 01:15:49:573,2021-12-07 07:32:12:317
10,300908,桨叶齿轮润滑油位低,2021-12-07 01:15:49:573,2021-12-07 07:32:12:317
10,290060,主轴承润滑故障(分油器堵塞),2021-12-07 00:47:27:918,2021-12-07 00:47:57:938
10,10011,机舱振动报警,2021-12-07 00:21:34:084,2021-12-07 01:05:49:541
10,290060,主轴承润滑故障(分油器堵塞),2021-12-06 12:44:57:060,2021-12-06 12:45:27:080
10,290060,主轴承润滑故障(分油器堵塞),2021-12-06 00:42:26:212,2021-12-06 00:42:56:242
10,290060,主轴承润滑故障(分油器堵塞),2021-12-05 12:39:55:340,2021-12-05 12:40:25:360
10,290060,主轴承润滑故障(分油器堵塞),2021-12-05 00:37:24:516,2021-12-05 00:37:54:536
10,290060,主轴承润滑故障(分油器堵塞),2021-12-04 12:34:53:663,2021-12-04 12:35:23:683
10,290060,主轴承润滑故障(分油器堵塞),2021-12-04 00:32:22:818,2021-12-04 00:32:52:846
10,290060,主轴承润滑故障(分油器堵塞),2021-12-03 12:29:51:966,2021-12-03 12:30:21:986
10,290060,主轴承润滑故障(分油器堵塞),2021-12-03 00:27:21:132,2021-12-03 00:27:51:152
10,290060,主轴承润滑故障(分油器堵塞),2021-12-02 12:24:50:280,2021-12-02 12:25:20:300
10,290060,主轴承润滑故障(分油器堵塞),2021-12-02 00:22:19:440,2021-12-02 00:22:49:460
10,290060,主轴承润滑故障(分油器堵塞),2021-12-01 12:19:48:602,2021-12-01 12:20:18:622
10,290060,主轴承润滑故障(分油器堵塞),2021-12-01 00:17:17:778,2021-12-01 00:17:47:798
10,290060,主轴承润滑故障(分油器堵塞),2021-12-01 12:19:48:602,2021-12-01 12:20:18:622
10,290060,主轴承润滑故障(分油器堵塞),2021-12-01 00:17:17:778,2021-12-01 00:17:47:798
10,290060,主轴承润滑故障(分油器堵塞),2021-11-30 12:14:46:930,2021-11-30 12:15:16:950
10,290060,主轴承润滑故障(分油器堵塞),2021-11-30 00:12:16:094,2021-11-30 00:12:46:117
10,290060,主轴承润滑故障(分油器堵塞),2021-11-29 12:09:45:270,2021-11-29 12:10:15:290
10,290060,主轴承润滑故障(分油器堵塞),2021-11-29 00:07:14:438,2021-11-29 00:07:44:458
10,60004,自动解缆,2021-11-28 18:44:31:590,2021-11-28 18:53:44:702
10,290060,主轴承润滑故障(分油器堵塞),2021-11-28 12:04:43:552,2021-11-28 12:05:13:572
10,290060,主轴承润滑故障(分油器堵塞),2021-11-28 00:02:12:649,2021-11-28 00:02:42:670
10,290060,主轴承润滑故障(分油器堵塞),2021-11-27 11:59:41:741,2021-11-27 12:00:11:761
10,300908,桨叶齿轮润滑油位低,2021-11-27 09:12:41:825,2021-12-07 01:05:49:541
10,300907,桨叶轴承润滑油位低,2021-11-27 09:12:41:825,2021-12-07 01:05:49:541
10,10011,机舱振动报警,2021-11-27 08:58:30:488,2021-11-27 09:02:41:793
10,290060,主轴承润滑故障(分油器堵塞),2021-11-26 23:57:10:846,2021-11-26 23:57:40:866
10,300907,桨叶轴承润滑油位低,2021-11-26 19:57:51:238,2021-11-27 09:02:41:793
10,300908,桨叶齿轮润滑油位低,2021-11-26 19:57:51:238,2021-11-27 09:02:41:793
10,910007,画面停止按钮激活,2021-11-26 19:46:27:346,2021-11-26 19:47:51:206
10,10011,机舱振动报警,2021-11-26 19:46:00:606,2021-11-26 19:47:51:206
10,300908,桨叶齿轮润滑油位低,2021-11-26 19:38:18:655,2021-11-26 19:47:51:206
10,300907,桨叶轴承润滑油位低,2021-11-26 19:38:18:655,2021-11-26 19:47:51:206
10,300691,桨叶轴承润滑出错,2021-11-26 19:38:10:915,2021-11-26 19:38:10:935
10,300691,桨叶轴承润滑出错,2021-11-26 19:36:38:315,2021-11-26 19:36:38:335
10,910007,画面停止按钮激活,2021-11-26 19:28:07:943,2021-11-26 19:28:18:623
10,10011,机舱振动报警,2021-11-26 19:27:21:423,2021-11-26 19:28:18:623
10,290060,主轴承润滑故障(分油器堵塞),2021-11-26 11:54:39:956,2021-11-26 11:55:09:976
10,290060,主轴承润滑故障(分油器堵塞),2021-11-25 23:52:09:099,2021-11-25 23:52:39:119
10,290060,主轴承润滑故障(分油器堵塞),2021-11-25 11:49:38:232,2021-11-25 11:50:08:252
10,290060,主轴承润滑故障(分油器堵塞),2021-11-24 23:47:07:397,2021-11-24 23:47:37:417
10,290060,主轴承润滑故障(分油器堵塞),2021-11-24 11:44:36:538,2021-11-24 11:45:06:558
10,290060,主轴承润滑故障(分油器堵塞),2021-11-23 23:42:05:694,2021-11-23 23:42:35:714
10,290060,主轴承润滑故障(分油器堵塞),2021-11-23 11:39:34:857,2021-11-23 11:40:04:877
10,290060,主轴承润滑故障(分油器堵塞),2021-11-22 23:37:04:042,2021-11-22 23:37:34:062
10,290060,主轴承润滑故障(分油器堵塞),2021-11-22 11:34:33:209,2021-11-22 11:35:03:229
10,290060,主轴承润滑故障(分油器堵塞),2021-11-21 23:32:02:376,2021-11-21 23:32:32:396
10,290060,主轴承润滑故障(分油器堵塞),2021-11-21 11:29:31:526,2021-11-21 11:30:01:546
10,300907,桨叶轴承润滑油位低,2021-11-21 11:19:15:546,2021-11-26 19:28:18:623
10,300908,桨叶齿轮润滑油位低,2021-11-21 11:19:15:546,2021-11-26 19:28:18:623
10,60005,手动偏航,2021-11-21 11:09:18:524,2021-11-21 11:44:38:287
10,50035,液压系统主压力过低,2021-11-21 11:09:09:644,2021-11-21 11:09:15:504
10,60005,手动偏航,2021-11-21 11:08:42:644,2021-11-21 11:09:15:504
10,50035,液压系统主压力过低,2021-11-21 10:59:46:424,2021-11-21 11:08:39:624
10,50002,液压油泵马达保护,2021-11-21 10:55:17:344,2021-11-21 11:08:39:624
10,270005,机舱冷却风扇保护,2021-11-21 09:37:21:316,2021-11-21 11:08:39:624
10,80072,齿轮箱润滑油泵马达保护,2021-11-21 09:37:09:836,2021-11-21 11:08:39:624
10,80080,齿轮箱冷却水泵保护,2021-11-21 09:37:09:316,2021-11-21 11:08:39:624
10,60005,手动偏航,2021-11-21 09:19:24:874,2021-11-21 11:08:39:624
10,910000,塔底停止按钮激活,2021-11-21 09:18:50:014,2021-11-21 11:08:39:625
10,290060,主轴承润滑故障(分油器堵塞),2021-11-20 23:27:00:699,2021-11-20 23:27:30:719
10,300907,桨叶轴承润滑油位低,2021-11-20 15:13:12:738,2021-11-21 11:08:39:624
10,300908,桨叶齿轮润滑油位低,2021-11-20 15:13:12:738,2021-11-21 11:08:39:624
10,300907,桨叶轴承润滑油位低,2021-11-20 15:00:10:656,2021-11-20 15:03:12:718
10,300908,桨叶齿轮润滑油位低,2021-11-20 15:00:10:656,2021-11-20 15:03:12:718
10,300115,变桨轴2后备电源欠电压,2021-11-20 14:46:39:336,2021-11-20 14:46:43:516
10,300114,变桨轴1后备电源欠电压,2021-11-20 14:46:39:336,2021-11-20 14:46:43:516
